Applaud.	Pumalakpak.
Eleven.	Labing-isa.
Wonderful.	Kamangha-mangha.
Feeling cold?	Giniginaw?
For instance.	Halimbawa.
Napakagaling.	Very good.
Really?	Talaga ba?
A machine!	Isang makina!
About that.	Tungkol doon.
Be happy.	Maging masaya.
Bless you.	Pagpalain ka.
Calm down.	Huminahon ka.
Come closer.	Lumapit ka.
Come inside.	Pumasok ka.
Coming soon.	Malapit na.
December 7.	Disyembre 7.
Enough already.	Tama na.
Every May.	Tuwing Mayo.
Follow him.	Sundan siya.
Grab him.	Hablutin siya.
He called.	Tumawag siya.
He copied.	Kumopya siya.
He drinks.	Umiinom siya.
He drove.	Nagmaneho siya.
He jumped.	Tumalon siya.
He laughed.	Tumawa siya.
He obeyed.	Sumunod siya.
He reads.	Bumabasa siya.
He runs.	Tumatakbo siya.
He smiled.	Ngumiti siya.
He spoke.	Nagsalita siya.
He tripped.	Nadapa siya.
He vomited.	Sumuka siya.
He watched.	Nanood siya.
He writes.	Sumusulat siya.
Hurry up.	Bilisan mo.
I failed.	Bumagsak ako.
I screamed.	Sumigaw ako.
I talked.	Nagsalita ako.
I thought.	Akala ko.
I waited.	Naghintay ako.
I'm cold.	Nilalamig ako.
I'm eating.	Kumakain ako.
I'm honest.	Matapat ako.
I'm nervous.	Kabado ako.
It is storming.	Bumabagyo.
It thinks.	Nag-iisip ito.
It's finished.	Tapos na.
It's magic.	Madyik ito.
It's so hot!	Napakainit!
Let's walk.	Lakad tayo.
My sin.	Aking kasalanan.
Not really.	Hindi naman.
On February.	Sa Pebrero.
On October.	Sa Oktubre.
One ring.	Isang singsing.
She wrote.	Sumulat siya.
Stop that.	Tigilan iyan.
Ten pesos.	Sampung piso.
That's cheap.	Mura iyan.
They died.	Namatay sila.
They fell.	Nahulog sila.
They think.	Tingin nila.
They voted.	Bumoto sila.
We played.	Naglaro kami.
We vomited.	Sumuka kami.
We're early.	Maaga tayo.
Who ran?	Sinong tumakbo?
You cheated.	Nandaya ka.
You tried.	Sinubukan mo.
You win.	Panalo ka.
You're insane.	Baliw ka.
Akin yan.	That is mine.
Are they not?	Hindi ba?
Ask me.	Tanungin mo ako.
Buzz off.	Tumayo ka nga.
Call me.	Tawagan mo ako.
Eat that.	Kainin mo iyan.
Eat this.	Kainin mo ito.
Face me.	Harapin mo ako.
Fall in line.	Pumila ka.
Fill it up.	Papuno nito.
Fix this.	Ayusin mo ito.
Follow me.	Sundan mo ko.
Follow me.	Sundan mo ako.
Have a drink.	Uminom ka.
He is alive.	Buhay siya.
Hold me.	Hawakan mo ako.
How are you?	Kamusta ka?
How are you?	Kumusta ka?
Hug me.	Yakapin mo ako.
I am dizzy.	Nahihilo ako.
I am fine.	Maayos naman.
I am hurt.	Nasaktan ako.
I am married.	Kasal ako.
I am sorry.	Pasensya na.
I am sure.	Sigurado ako.
I got hit.	Natamaan ako.
I hope so.	Sana nga.
I know you.	Kilala kita.
I like you.	Gusto kita.
I love you.	Mahal kita.
I went down.	Bumaba ako.
I will pass.	Papasa ako.
I will run.	Tatakbo ako.
I'm done.	Tapos na ako.
I'm early.	Ako ay maaga.
I'm going.	Aalis na ako.
I'm lost.	Ako ay nawawala.
I'm ready.	Handa na ako.
I'm sick.	May sakit ako.
In the pocket.	Sa bulsa.
Is it close?	Malapit ba?
It is rocky.	Mabato ito.
Join me.	Samahan mo ako.
Just 5000?	5000 lang ba?
Just a stone.	Bato lang.
Nandito ako.	I am here.
Nothing much.	Wala naman masyado.
On the city.	Sa lungsod.
Place it on.	Ipatong mo.
Save me.	Iligtas mo ako.
See that?	Nakita mo yan?
Shall we sit?	Upo tayo?
She is right.	Tama siya.
She is wrong.	Mali siya.
Sit here.	Umupo ka rito.
Take this.	Kunin mo ito.
Teach me.	Turuan mo ako.
